Country,Air Pollutant,Air Pollutant Description,Year,Air Pollution Level,Unit Of Air Pollution Level
Austria,SO2,Sulphur dioxide (air),2018,13.99,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,15.22,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2013,5.493,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,5.573,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,5.839,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,6.196,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,6.202,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,7.816,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,12.24,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,12.844,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,1.108,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,1.245,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,1.262,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,1.267,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,1.374,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,1.519,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,1.791,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,2.148,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,1.014,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,1.214,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,1.242,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,1.341,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,1.431,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,1.509,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,2.398,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,1.959,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,2.191,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,2.782,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,2.817,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,3.291,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,3.458,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,5.787,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,6.503,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,2.78,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,3.095,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,4.34,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,4.41,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,5.255,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,9.05,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,9.355,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,12.92,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,2.253,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,3.22,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,3.654,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,3.927,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,3.931,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,5.179,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,9.788,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,13.053,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,1.029,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,1.065,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,1.145,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,1.258,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,1.274,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,1.379,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,1.711,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,1.83,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,1.301,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,1.442,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,1.47,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,1.607,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,1.853,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,1.869,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,1.893,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,7.105,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,7.661,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,7.735,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,8.907,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,9.185,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,9.375,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,14.839,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,14.855,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,23.955,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,24.905,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,26.25,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,28.23,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,33.33,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,34.335,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,51.685,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,56.915,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,8.571,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,9.683,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,9.862,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,11.319,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,11.566,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,15.137,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,17.191,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,25.033,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,2.49,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,2.778,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,3.216,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,3.293,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,3.396,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,3.483,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,3.583,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,3.705,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,2.651,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,3.212,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,3.364,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,3.514,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,3.628,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,3.662,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,4.137,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,2.712,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,3.636,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,3.815,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,8.376,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,11.137,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,13.025,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,14.614,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,28.724,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,4.29,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,5.23,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,11.625,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,22.87,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,29.225,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,30.68,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,53.495,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,95.31,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,3.131,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,4.414,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,22.58,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,27.626,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,33.011,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,40.592,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,42.637,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,51.905,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,1.349,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,1.591,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,1.623,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,1.76,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,1.804,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,2.298,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,2.299,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,3.596,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,1.562,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,1.654,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,2.137,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,2.206,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,2.265,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,2.632,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,3.382,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,2.693,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,3.283,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,3.953,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,4.345,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,5.379,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,5.871,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,6.585,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,7.128,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,5.385,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,5.475,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,7.225,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,10.435,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,10.945,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,11.295,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,12.775,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,14.515,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,4.395,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,4.956,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,6.133,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,10.082,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,10.69,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,10.839,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,11.923,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,17.107,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,1.01,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,1.105,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,1.287,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,1.444,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,1.473,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,1.742,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,1.781,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,2.061,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,0.926,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,1.352,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,1.548,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,1.617,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,1.791,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,1.948,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,2.25,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,4.391,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,5.301,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,5.304,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,6.75,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,6.935,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,7.174,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,7.426,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,7.744,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,8.927,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,9.5,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,10.392,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,10.5,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,13.5,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,13.59,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,13.59,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,14.0,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,5.781,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,6.977,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,7.067,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,7.391,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,9.63,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,11.283,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,12.018,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,12.269,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
